Priority,Rule Type,Key,Product Type,Customer,Customer Code Logic,Is_WIP,Enabled,Product Line,Production Site
1.1,Plant Exact,LA10,,,,,Y,,台灣高雄廠-AE
1.2,Plant Exact,LA30,,,,,Y,,中國廣州廠(B1棟)-AE
1.3,Plant Exact,LA40,,,,,Y,,墨西哥廠-AE
1,Material Number Prefix,94,成品,,,N,Y,,
90,Description Contains,ASSY,WIP,,,Y,Y,,
999,Default,*,WIP,,,Y,N,,
