Priority,Rule Type,Key,Product Type,Product Line,Production Site,Customer,Customer Code Logic,Is_WIP,Enabled
1,Plant Exact,2680,,,中國常州廠A6-PC,,,,Y
2,Plant Exact,2550,,,中國廣州廠(B1棟)-PC,,,,Y
3.1,Plant Exact,3560,,,中國長安廠-PC,,,,Y
3.2,Plant Exact,PE00,,,中國長安廠-PC,,,,Y
4,Plant Exact,429A,,,越南海防廠-PC,,,,Y
5,Plant Exact,MB01,,,巴西廠-PC,,,,Y
999,Default,*,WIP,,,,,Y,N
